xi,tau,n_clusters,n_labels_used,coverage,silhouette,adjusted_rand,nmi,f1_macro
5,0.02,606,86,0.5779166666666665,-0.19223002915769932,0.1592302629308989,0.45490595139966966,0.997916646321416
5,0.05,367,63,0.36903765690376567,-0.1565784052829209,0.18842109266449697,0.48045697331747855,0.997916646321416
5,0.08,246,49,0.29483333333333334,-0.1324832366362846,0.19396862164545273,0.5048132793487089,1.0
8,0.02,415,96,0.3052034428794992,-0.24441904752994123,0.08343423218021742,0.42501464592748833,1.0
8,0.05,137,49,0.2919078947368421,-0.11643340330594724,0.15930517583966095,0.48523489567882605,0.9958331705665587
8,0.08,54,29,0.2967447916666666,-0.08577474396729658,0.34169336096570574,0.5687291039637495,0.9958331705665587
10,0.02,321,88,0.30445402298850577,-0.2379839157177724,0.11911310283933248,0.438909821449565,1.0
10,0.05,90,40,0.2853483606557377,-0.13725077546187267,0.2752203402705249,0.525024592698184,0.9937499389642476
10,0.08,34,24,0.37668269230769236,-0.09766048806393608,0.3080732698393064,0.5711407444952212,0.9937494506353097
