feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.06,26,0,1.0,0.07,-0.1185,3.6383,71.4,-0.809564
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.08,25,6,0.998,0.04,-0.1556,4.3205,72.4,-0.8767399999999999
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.1,19,20,0.994,0.02,-0.0693,3.906,101.3,-0.60828
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.12,13,122,0.961,0.01,-0.0046,3.8408,165.7,-0.396614
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.14,9,230,0.926,0.01,0.012,2.9152,228.1,-0.23971599999999998
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.16,8,415,0.866,0.0,0.0423,2.2743,259.3,-0.17314400000000002
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.18,8,560,0.819,0.0,0.0423,2.2597,250.1,-0.18372600000000003
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.2,6,707,0.772,0.0,0.1372,1.7585,295.8,-0.060480000000000006
frequency|return_rate|weekend_ratio,8,0.06,8,4,0.999,0.01,0.2599,1.5523,649.7,0.13546600000000003
frequency|return_rate|weekend_ratio,8,0.08,9,7,0.998,0.02,0.2291,1.3698,602.1,0.119016
frequency|return_rate|weekend_ratio,8,0.1,9,100,0.968,0.04,0.2486,1.9295,673.3,0.08623999999999998
frequency|return_rate|weekend_ratio,8,0.12,8,207,0.933,0.01,0.2327,1.4969,577.2,0.096198
frequency|return_rate|weekend_ratio,8,0.14,7,255,0.918,0.01,0.2485,1.4344,653.7,0.11324800000000002
frequency|return_rate|weekend_ratio,8,0.16,7,367,0.882,0.01,0.2563,1.3851,681.3,0.11599199999999997
frequency|return_rate|weekend_ratio,8,0.18,7,367,0.882,0.01,0.2992,1.2451,979.1,0.17009200000000002
frequency|return_rate|weekend_ratio,8,0.2,7,367,0.882,0.02,0.2992,1.2451,979.1,0.17009200000000002
frequency|return_rate|weekend_ratio,10,0.06,10,11,0.996,0.04,0.236,1.2544,651.8,0.134648
frequency|return_rate|weekend_ratio,10,0.08,9,22,0.993,0.01,0.169,1.3185,458.8,0.061770000000000005
frequency|return_rate|weekend_ratio,10,0.1,8,387,0.875,0.03,0.2543,1.2899,778.7,0.11985800000000002
frequency|return_rate|weekend_ratio,10,0.12,8,431,0.861,0.01,0.3225,1.225,1011.2,0.18975
frequency|return_rate|weekend_ratio,10,0.14,8,431,0.861,0.01,0.3225,1.225,1011.2,0.18975
frequency|return_rate|weekend_ratio,10,0.16,7,538,0.826,0.01,0.3374,1.0279,1168.2,0.21166799999999994
frequency|return_rate|weekend_ratio,10,0.18,7,538,0.826,0.03,0.3374,1.0279,1168.2,0.21166799999999994
frequency|return_rate|weekend_ratio,10,0.2,7,538,0.826,0.01,0.3374,1.0279,1168.2,0.21166799999999994
frequency|return_rate|weekend_ratio,12,0.06,14,35,0.989,0.03,0.2109,2.696,522.7,-0.10753000000000001
frequency|return_rate|weekend_ratio,12,0.08,12,119,0.962,0.08,0.2578,2.3036,700.2,0.014011999999999997
frequency|return_rate|weekend_ratio,12,0.1,8,366,0.882,0.01,0.3454,1.3871,1070.4,0.20493199999999995
frequency|return_rate|weekend_ratio,12,0.12,8,366,0.882,0.02,0.1442,1.4708,530.4,-0.0029640000000000083
frequency|return_rate|weekend_ratio,12,0.14,8,487,0.843,0.01,0.1328,1.5338,456.9,-0.029154000000000013
frequency|return_rate|weekend_ratio,12,0.16,8,540,0.826,0.01,0.2454,1.1924,810.3,0.106508
frequency|return_rate|weekend_ratio,12,0.18,8,540,0.826,0.01,0.2454,1.1924,810.3,0.106508
frequency|return_rate|weekend_ratio,12,0.2,7,540,0.826,0.06,0.3276,1.2829,855.8,0.18146800000000002
frequency|return_rate|weekend_ratio,14,0.06,13,64,0.979,0.03,0.1793,2.0102,403.5,-0.06176600000000004
frequency|return_rate|weekend_ratio,14,0.08,7,424,0.863,0.02,0.2637,1.3928,625.5,0.11802599999999998
frequency|return_rate|weekend_ratio,14,0.1,8,483,0.844,0.02,0.3087,1.5078,871.4,0.14907599999999993
frequency|return_rate|weekend_ratio,14,0.12,7,621,0.8,0.01,0.3135,1.0183,1136.1,0.18203600000000003
frequency|return_rate|weekend_ratio,14,0.14,7,621,0.8,0.01,0.3008,1.0223,1103.4,0.16901600000000003
frequency|return_rate|weekend_ratio,14,0.16,7,674,0.783,0.02,0.2581,1.0034,924.1,0.123578
frequency|return_rate|weekend_ratio,14,0.18,7,674,0.783,0.04,0.2581,1.0034,924.1,0.123578
frequency|return_rate|weekend_ratio,14,0.2,6,674,0.783,0.02,0.3432,1.0772,1000.6,0.20277400000000004
frequency|return_rate|weekend_ratio,16,0.06,10,248,0.92,0.02,0.2169,1.5425,513.4,0.07350000000000002
frequency|return_rate|weekend_ratio,16,0.08,8,466,0.85,0.01,0.2691,1.6334,633.1,0.10092799999999999
frequency|return_rate|weekend_ratio,16,0.1,7,609,0.804,0.01,0.3302,1.1834,1003.4,0.186528
frequency|return_rate|weekend_ratio,16,0.12,7,653,0.789,0.01,0.3175,1.0198,1136.5,0.18316600000000005
frequency|return_rate|weekend_ratio,16,0.14,7,653,0.789,0.01,0.3047,1.0237,1103.9,0.17005399999999998
frequency|return_rate|weekend_ratio,16,0.16,7,707,0.772,0.01,0.2626,1.0042,927.6,0.125264
frequency|return_rate|weekend_ratio,16,0.18,7,707,0.772,0.02,0.2626,1.0042,927.6,0.125264
frequency|return_rate|weekend_ratio,16,0.2,6,707,0.772,0.0,0.3456,1.0788,1006.0,0.20229600000000003
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.06,16,0,1.0,0.05,0.0897,1.8745,286.1,-0.21026000000000003
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.08,15,0,1.0,0.2,0.0202,1.7551,328.5,-0.245208
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.1,16,1,1.0,0.06,-0.008,1.6505,293.7,-0.2900400000000001
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.12,16,6,0.998,0.14,-0.0758,1.9969,242.8,-0.38605200000000006
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.14,13,22,0.993,0.11,0.0164,1.994,266.7,-0.21987
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.16,11,37,0.988,0.09,0.05,2.3101,314.0,-0.162808
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.18,10,106,0.966,0.01,0.0345,3.6489,300.5,-0.26591200000000004
frequency|return_rate|weekend_ratio|repeat_category_rate,8,0.2,10,106,0.966,0.02,0.0345,3.6489,300.5,-0.26591200000000004
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.06,16,0,1.0,0.18,0.0142,1.8616,318.8,-0.28472800000000004
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.08,15,0,1.0,0.13,0.0178,1.8802,312.0,-0.257616
frequency|return_rate|weekend_ratio|repeat_category_rate,10,0.1,15,30,0.99,0.16,0.0242,2.5035,284.1,-0.30357999999999996
